title,release_age,release_name,emotion_me,song_length,single,music_video,streams
Bravado,16,The Love Club EP,Content,221,0,0,"79,133,808"
Million Dollar Bills,16,The Love Club EP,Upbeat,138,0,0,"53,221,172"
Royals,16,The Love Club EP,Content,190,1,1,"1,210,476,099"
The Love Club,16,The Love Club EP,Upbeat,201,0,0,"163,049,591"
Biting Down,16,The Love Club EP,Content,214,0,0,"38,833,791"
Tennis Court,16,Pure Heroine,Upbeat,199,1,1,"309,612,167"
400 Lux,16,Pure Heroine,Relaxed,234,0,0,"138,058,916"
Ribs,16,Pure Heroine,Sad,259,0,0,"588,769,175"
Buzzcut Season,16,Pure Heroine,Upbeat,247,0,0,"234,334,646"
Team,16,Pure Heroine,Upbeat,183,1,1,"794,247,013"
Glory and Gore,16,Pure Heroine,Upbeat,211,1,0,"164,401,307"
Still Sane,16,Pure Heroine,Relaxed,188,0,0,"69,112,790"
White Teeth Teens,16,Pure Heroine,Relaxed,217,0,0,"97,911,654"
A World Alone,16,Pure Heroine,Sad,294,0,0,"107,232,457"
Green Light,21,Melodrama,Upbeat,235,1,1,"585,766,523"
Sober,21,Melodrama,Upbeat,197,0,0,"105,882,886"
Homemade Dynamite,21,Melodrama,Upbeat,189,1,0,"136,415,495"
The Louvre,21,Melodrama,Upbeat,271,0,0,"146,135,115"
Liability,21,Melodrama,Sad,172,0,0,"418,972,261"
Hard Feelings/Loveless,21,Melodrama,Sad,367,0,0,"116,341,485"
Sober II (Melodrama),21,Melodrama,Upbeat,179,0,0,"72,029,823"
Writer in the Dark,21,Melodrama,Sad,217,0,0,"143,413,444"
Supercut,21,Melodrama,Sad,278,0,0,"266,407,478"
Liability (Reprise),21,Melodrama,Sad,136,0,0,"47,360,860"
Perfect Places,21,Melodrama,Upbeat,221,1,1,"258,821,942"
The Path,25,Solar Power,Upbeat,221,0,1,"29,880,213"
Solar Power,25,Solar Power,Upbeat,193,1,1,"152,668,624"
California,25,Solar Power,Reflective,191,0,0,"28,293,602"
Stoned at the Nail Salon,25,Solar Power,Reflective,266,1,1,"78,830,079"
Fallen Fruit,25,Solar Power,Relaxed,238,1,1,"23,366,033"
Secrets from a Girl (Who's Seen it All),25,Solar Power,Reflective,218,0,1,"34,360,903"
The Man with the Axe,25,Solar Power,Sad,255,0,0,"16,579,799"
Dominoes,25,Solar Power,Content,123,0,0,"17,263,106"
Big Star,25,Solar Power,Sad,167,0,0,"18,952,704"
Leader of a New Regime,25,Solar Power,Content,93,0,1,"13,265,560"
Mood Ring,25,Solar Power,Upbeat,225,1,1,"69,887,970"
Oceanic Feeling,25,Solar Power,Relaxed,399,0,1,"16,139,320"
Hold No Grudge,25,Solar Power,Reflective,268,0,0,"12,376,507"
Helen of Troy,25,Solar Power,Upbeat,171,0,0,"7,899,507"